occupation,maritalStatus,,Y
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
Arts Design Entertainment Sports & Media,Single,,1
Arts Design Entertainment Sports & Media,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Student,Married partner,,1
Student,Married partner,,1
Student,Married partner,,0
Student,Married partner,,1
Student,Married partner,,1
Student,Married partner,,1
Student,Married partner,,1
Student,Married partner,,1
Student,Married partner,,1
Student,Married partner,,0
Student,Married partner,,1
Student,Married partner,,1
Student,Married partner,,0
Student,Married partner,,0
Student,Married partner,,0
Student,Married partner,,1
Student,Married partner,,1
Student,Married partner,,0
Student,Married partner,,0
Student,Married partner,,0
Student,Married partner,,1
Student,Married partner,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,0
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,0
Construction & Extraction,Married partner,,0
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,0
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,0
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,0
Construction & Extraction,Married partner,,0
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,1
Construction & Extraction,Married partner,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,0
Management,Married partner,,0
Management,Married partner,,0
Management,Married partner,,0
Management,Married partner,,0
Management,Married partner,,0
Management,Married partner,,1
Management,Married partner,,0
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,0
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,0
Education&Training&Library,Unmarried partner,,0
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,0
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,0
Education&Training&Library,Unmarried partner,,0
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,0
Education&Training&Library,Unmarried partner,,0
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,0
Sales & Related,Single,,0
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,0
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,1
Healthcare Support,Married partner,,0
Legal,Single,,1
Legal,Single,,1
Legal,Single,,1
Legal,Single,,0
Legal,Single,,1
Legal,Single,,1
Legal,Single,,1
Legal,Single,,1
Legal,Single,,0
Legal,Single,,1
Legal,Single,,1
Legal,Single,,1
Legal,Single,,1
Legal,Single,,1
Legal,Single,,1
Legal,Single,,1
Legal,Single,,0
Legal,Single,,1
Legal,Single,,1
Legal,Single,,1
Legal,Single,,1
Legal,Single,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,0
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,1
Retired,Married partner,,1
Retired,Married partner,,1
Retired,Married partner,,1
Retired,Married partner,,1
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,1
Retired,Married partner,,1
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Retired,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,0
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,1
Community & Social Services,Unmarried partner,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,1
Office & Administrative Support,Single,,0
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,0
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,0
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,0
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Education&Training&Library,Unmarried partner,,1
Life Physical Social Science,Single,,1
Life Physical Social Science,Single,,1
Life Physical Social Science,Single,,0
Life Physical Social Science,Single,,0
Life Physical Social Science,Single,,1
Life Physical Social Science,Single,,0
Life Physical Social Science,Single,,0
Life Physical Social Science,Single,,1
Life Physical Social Science,Single,,0
Life Physical Social Science,Single,,1
Life Physical Social Science,Single,,1
Life Physical Social Science,Single,,1
Life Physical Social Science,Single,,1
Life Physical Social Science,Single,,1
Life Physical Social Science,Single,,0
Life Physical Social Science,Single,,0
Life Physical Social Science,Single,,1
Life Physical Social Science,Single,,1
Life Physical Social Science,Single,,0
Life Physical Social Science,Single,,0
Life Physical Social Science,Single,,0
Life Physical Social Science,Single,,1
Architecture & Engineering,Married partner,,1
Architecture & Engineering,Married partner,,1
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,1
Architecture & Engineering,Married partner,,1
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,1
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,1
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,1
Architecture & Engineering,Married partner,,1
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,0
Architecture & Engineering,Married partner,,0
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,0
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,0
Healthcare Practitioners & Technical,Married partner,,0
Healthcare Practitioners & Technical,Married partner,,0
Healthcare Practitioners & Technical,Married partner,,0
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,0
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,1
Healthcare Practitioners & Technical,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Retired,Divorced,,1
Retired,Divorced,,1
Retired,Divorced,,0
Retired,Divorced,,0
Retired,Divorced,,0
Retired,Divorced,,0
Retired,Divorced,,0
Retired,Divorced,,1
Retired,Divorced,,0
Retired,Divorced,,0
Retired,Divorced,,0
Retired,Divorced,,1
Retired,Divorced,,1
Retired,Divorced,,1
Retired,Divorced,,0
Retired,Divorced,,0
Retired,Divorced,,1
Retired,Divorced,,1
Retired,Divorced,,0
Retired,Divorced,,1
Retired,Divorced,,1
Retired,Divorced,,0
Retired,Unmarried partner,,1
Retired,Unmarried partner,,0
Retired,Unmarried partner,,1
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,1
Retired,Unmarried partner,,1
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,1
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,1
Retired,Unmarried partner,,0
Office & Administrative Support,Unmarried partner,,1
Office & Administrative Support,Unmarried partner,,1
Office & Administrative Support,Unmarried partner,,0
Office & Administrative Support,Unmarried partner,,0
Office & Administrative Support,Unmarried partner,,0
Office & Administrative Support,Unmarried partner,,1
Office & Administrative Support,Unmarried partner,,0
Office & Administrative Support,Unmarried partner,,1
Office & Administrative Support,Unmarried partner,,1
Office & Administrative Support,Unmarried partner,,0
Office & Administrative Support,Unmarried partner,,1
Office & Administrative Support,Unmarried partner,,1
Office & Administrative Support,Unmarried partner,,1
Office & Administrative Support,Unmarried partner,,1
Office & Administrative Support,Unmarried partner,,0
Office & Administrative Support,Unmarried partner,,0
Office & Administrative Support,Unmarried partner,,0
Office & Administrative Support,Unmarried partner,,0
Office & Administrative Support,Unmarried partner,,1
Office & Administrative Support,Unmarried partner,,1
Office & Administrative Support,Unmarried partner,,1
Office & Administrative Support,Unmarried partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,1
Arts Design Entertainment Sports & Media,Married partner,,0
Arts Design Entertainment Sports & Media,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,1
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Unemployed,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Unmarried partner,,1
Computer & Mathematical,Unmarried partner,,1
Computer & Mathematical,Unmarried partner,,1
Computer & Mathematical,Unmarried partner,,0
Computer & Mathematical,Unmarried partner,,1
Computer & Mathematical,Unmarried partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,1
Computer & Mathematical,Married partner,,0
Computer & Mathematical,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,1
Sales & Related,Married partner,,0
Sales & Related,Married partner,,0
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,0
Student,Single,,0
Student,Single,,0
Student,Single,,1
Student,Single,,1
Student,Single,,1
Student,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,0
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Construction & Extraction,Widowed,,1
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,1
Construction & Extraction,Widowed,,1
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,1
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,1
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,1
Construction & Extraction,Widowed,,1
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,0
Construction & Extraction,Widowed,,1
Construction & Extraction,Widowed,,0
Retired,Unmarried partner,,1
Retired,Unmarried partner,,1
Retired,Unmarried partner,,1
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,1
Retired,Unmarried partner,,0
Retired,Unmarried partner,,1
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,1
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,0
Retired,Unmarried partner,,1
Retired,Unmarried partner,,1
Retired,Unmarried partner,,1
Retired,Unmarried partner,,0
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,0
Student,Unmarried partner,,0
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,0
Student,Unmarried partner,,0
Student,Unmarried partner,,0
Student,Unmarried partner,,1
Student,Unmarried partner,,1
Student,Unmarried partner,,0
Student,Unmarried partner,,0
Student,Unmarried partner,,0
Student,Unmarried partner,,0
Student,Unmarried partner,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Single,,0
Sales & Related,Single,,0
Sales & Related,Single,,0
Sales & Related,Single,,1
Sales & Related,Single,,0
Sales & Related,Unmarried partner,,1
Sales & Related,Unmarried partner,,1
Sales & Related,Unmarried partner,,1
Sales & Related,Unmarried partner,,0
Sales & Related,Unmarried partner,,1
Sales & Related,Unmarried partner,,1
Sales & Related,Unmarried partner,,0
Sales & Related,Unmarried partner,,1
Sales & Related,Unmarried partner,,1
Sales & Related,Unmarried partner,,1
Sales & Related,Unmarried partner,,1
Sales & Related,Unmarried partner,,1
Sales & Related,Unmarried partner,,1
Sales & Related,Unmarried partner,,1
Sales & Related,Unmarried partner,,0
Sales & Related,Unmarried partner,,1
